Date,Google,bing,Yahoo!,Ask Jeeves,MSN,Windows Live,Others
2009-01,90.25,0,5.91,0.4,1.37,1.09,0.98
2009-02,89.69,0,5.74,0.39,1.46,1.79,0.93
2009-03,89.14,0,6.01,0.41,1.46,1.8,1.18
2009-04,89.91,0,5.47,0.37,1.25,1.81,1.19
2009-05,89.86,0,5.25,0.4,1.3,1.86,1.33
2009-06,89.85,3.24,5.14,0.34,0.01,0.02,1.4
2009-07,89.28,3.57,5.17,0.32,0,0,1.66
2009-08,89.62,3.55,4.82,0.33,0,0,1.68
2009-09,90.6,3.22,4.34,0.33,0,0,1.51
2009-10,90.86,3.28,4.08,0.33,0,0,1.45
2009-11,91.43,2.96,3.93,0.36,0,0,1.32
2009-12,91.3,3.23,3.87,0.35,0,0,1.25
2010-01,90.86,3.37,4.08,0.41,0,0,1.28
2010-02,90.6,3.6,4.14,0.45,0,0,1.21
2010-03,90.67,3.51,4.15,0.42,0,0,1.25
2010-04,90.53,3.51,4.22,0.41,0.01,0,1.32
2010-05,90.6,3.48,4.22,0.4,0.01,0,1.29
2010-06,90.25,3.67,4.32,0.41,0.01,0,1.34
2010-07,90.79,3.66,3.81,0.43,0.01,0,1.3
2010-08,91.44,3.32,3.58,0.41,0.01,0,1.24
2010-09,91.59,3.34,3.46,0.4,0.01,0,1.2
2010-10,91.41,3.38,3.54,0.4,0,0,1.27
2010-11,91.13,3.31,3.84,0.38,0,0,1.34
2010-12,90.82,3.39,4.02,0.37,0,0,1.4
2011-01,90.4,4.12,3.88,0.35,0,0,1.25
2011-02,90.23,4.22,3.84,0.34,0,0,1.37
2011-03,90.41,4.07,3.85,0.31,0,0,1.36
2011-04,90.61,3.84,3.72,0.33,0,0,1.5
2011-05,91.07,3.68,3.46,0.35,0,0,1.44
2011-06,91.61,3.1,3.44,0.34,0,0,1.51
2011-07,91.4,3.24,3.44,0.37,0,0,1.55
2011-08,91.33,3.16,3.53,0.36,0,0,1.62
2011-09,91.25,3.29,3.59,0.35,0,0,1.52
2011-10,91.2,3.36,3.59,0.37,0,0,1.48
2011-11,91.55,3.42,3.41,0.35,0,0,1.27
2011-12,91.77,3.34,3.31,0.33,0,0,1.25
2012-01,91.98,3.33,3.21,0.33,0,0,1.15
2012-02,92.2,3.24,3.2,0.32,0,0,1.04
2012-03,92.41,3.11,3.14,0.31,0,0,1.03
2012-04,92.14,3.26,3.24,0.31,0,0,1.05
2012-05,92.46,3.13,3.15,0.29,0,0,0.97
